run,type,module,name,attrname,attrvalue,vectime,vecvalue
General-0-20220617-22:23:41-84868,runattr,,,configname,General,,
General-0-20220617-22:23:41-84868,runattr,,,datetime,20220617-22:23:41,,
General-0-20220617-22:23:41-84868,runattr,,,datetimef,20220617-222341,,
General-0-20220617-22:23:41-84868,runattr,,,experiment,General,,
General-0-20220617-22:23:41-84868,runattr,,,inifile,omnetpp.ini,,
General-0-20220617-22:23:41-84868,runattr,,,iterationvars,,,
General-0-20220617-22:23:41-84868,runattr,,,iterationvarsd,,,
General-0-20220617-22:23:41-84868,runattr,,,iterationvarsf,,,
General-0-20220617-22:23:41-84868,runattr,,,measurement,,,
General-0-20220617-22:23:41-84868,runattr,,,network,Network,,
General-0-20220617-22:23:41-84868,runattr,,,processid,84868,,
General-0-20220617-22:23:41-84868,runattr,,,repetition,0,,
General-0-20220617-22:23:41-84868,runattr,,,replication,#0,,
General-0-20220617-22:23:41-84868,runattr,,,resultdir,results,,
General-0-20220617-22:23:41-84868,runattr,,,runnumber,0,,
General-0-20220617-22:23:41-84868,runattr,,,seedset,0,,
General-0-20220617-22:23:41-84868,config,,,network,Network,,
General-0-20220617-22:23:41-84868,config,,,sim-time-limit,200s,,
General-0-20220617-22:23:41-84868,config,,,"Network.node[{0,1,2,3,4,6,7,8}].app.interArrivalTime",exponential(7),,
General-0-20220617-22:23:41-84868,config,,,"Network.node[{0,1,2,3,4,6,7,8}].app.packetByteSize",125000,,
General-0-20220617-22:23:41-84868,config,,,"Network.node[{0,1,2,3,4,6,7,8}].app.destination",5,,
